title,artist,top genre,year,added,Beats per minute,energy,danceability,Loudness (dB),liveness,valence,duration,acousticness,speechiness,popularity,album
Complicated,Avril Lavigne,canadian pop,2002,2020‑03‑05,78,78,59,-6,30,43,245,6,5,76,Let Go
Sk8er Boi,Avril Lavigne,canadian pop,2002,2020‑03‑05,150,90,49,-4,36,48,204,0,5,74,Let Go
What the Hell,Avril Lavigne,canadian pop,2011,2020‑03‑05,150,93,58,-4,14,88,221,0,5,73,Goodbye Lullaby
Girlfriend,Avril Lavigne,canadian pop,2007,2020‑03‑05,164,96,56,-2,21,67,217,0,10,72,The Best Damn Thing
Head Above Water,Avril Lavigne,canadian pop,2019,2020‑03‑05,130,69,58,-5,10,27,221,1,7,71,Head Above Water
I'm with You,Avril Lavigne,canadian pop,2002,2020‑03‑05,152,41,46,-7,12,21,223,8,3,69,Let Go
When You're Gone,Avril Lavigne,canadian pop,2007,2020‑03‑05,142,72,46,-4,23,17,240,19,3,68,The Best Damn Thing
My Happy Ending,Avril Lavigne,canadian pop,2004,2020‑03‑05,170,94,41,-2,37,74,242,0,8,67,Under My Skin
Here's to Never Growing Up,Avril Lavigne,canadian pop,2013,2020‑03‑05,165,87,48,-3,41,74,214,1,9,67,Avril Lavigne
Wish You Were Here,Avril Lavigne,canadian pop,2011,2020‑03‑05,166,87,45,-4,19,34,226,3,6,65,Goodbye Lullaby
Keep Holding On,Avril Lavigne,canadian pop,2007,2020‑03‑05,161,79,27,-2,14,15,240,4,3,64,The Best Damn Thing
Nobody's Home,Avril Lavigne,canadian pop,2004,2020‑03‑05,185,91,35,-4,16,18,212,0,5,61,Under My Skin
Smile,Avril Lavigne,canadian pop,2011,2020‑03‑05,105,85,63,-4,7,65,210,0,5,61,Goodbye Lullaby
Tell Me It's Over,Avril Lavigne,canadian pop,2019,2020‑03‑05,92,74,55,-4,14,30,189,4,3,60,Head Above Water
Hot,Avril Lavigne,canadian pop,2007,2020‑03‑05,145,94,60,-4,36,47,203,2,8,59,The Best Damn Thing
Rock N Roll,Avril Lavigne,canadian pop,2013,2020‑03‑05,184,96,47,-3,34,67,207,1,13,59,Avril Lavigne
Let Me Go (feat. Chad Kroeger),Avril Lavigne,canadian pop,2013,2020‑03‑05,164,65,39,-7,14,13,268,21,3,59,Avril Lavigne
Don't Tell Me,Avril Lavigne,canadian pop,2004,2020‑03‑05,144,80,52,-3,36,48,202,0,4,58,Under My Skin
I Fell In Love With The Devil,Avril Lavigne,canadian pop,2019,2020‑03‑05,136,68,52,-7,20,22,256,2,8,58,Head Above Water
Losing Grip,Avril Lavigne,canadian pop,2002,2020‑03‑05,158,89,53,-5,8,58,234,0,10,57,Let Go
Innocence,Avril Lavigne,canadian pop,2007,2020‑03‑05,138,71,39,-4,20,34,232,15,3,57,The Best Damn Thing
Hello Kitty,Avril Lavigne,canadian pop,2013,2020‑03‑05,128,79,75,-7,65,59,196,0,9,57,Avril Lavigne
Give You What You Like,Avril Lavigne,canadian pop,2013,2020‑03‑05,79,53,62,-7,11,39,225,44,3,56,Avril Lavigne
Dumb Blonde (feat. Nicki Minaj),Avril Lavigne,canadian pop,2019,2020‑03‑05,110,85,73,-5,12,92,215,17,8,56,Head Above Water
Things I'll Never Say,Avril Lavigne,canadian pop,2002,2020‑03‑05,102,81,57,-5,14,59,224,0,3,55,Let Go
The Best Damn Thing,Avril Lavigne,canadian pop,2007,2020‑03‑05,165,94,56,-2,15,88,189,0,9,55,The Best Damn Thing
Tomorrow,Avril Lavigne,canadian pop,2002,2020‑03‑05,136,79,63,-7,16,61,229,1,3,54,Let Go
Anything but Ordinary,Avril Lavigne,canadian pop,2002,2020‑03‑05,123,67,65,-6,9,64,251,4,4,54,Let Go
Fall To Pieces,Avril Lavigne,canadian pop,2004,2020‑03‑05,178,90,43,-3,63,49,209,0,4,54,Under My Skin
Bad Girl (feat. Marilyn Manson),Avril Lavigne,canadian pop,2013,2020‑03‑05,158,94,43,-3,41,34,175,0,14,54,Avril Lavigne
Nobody's Fool,Avril Lavigne,canadian pop,2002,2020‑03‑05,90,88,50,-6,13,46,237,0,6,53,Let Go
