tracks,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Complicated,Avril Lavigne,canadian pop,2002,2011-11-30,78,78,59,-6,30,43,245,6,5,77
2,Sk8er Boi,Avril Lavigne,canadian pop,2002,2011-11-30,150,90,49,-4,36,48,204,0,5,75
3,What the Hell,Avril Lavigne,canadian pop,2011,2011-11-30,150,93,58,-4,14,88,221,0,5,73
4,Girlfriend,Avril Lavigne,canadian pop,2007,2011-11-30,164,96,56,-2,21,67,217,0,10,72
5,I'm with You,Avril Lavigne,canadian pop,2002,2011-11-30,152,41,46,-7,12,21,223,8,3,70
6,When You're Gone,Avril Lavigne,canadian pop,2007,2011-11-30,142,72,46,-4,23,17,240,19,3,69
7,My Happy Ending,Avril Lavigne,canadian pop,2004,2011-11-30,170,94,41,-2,37,74,242,0,8,68
8,Wish You Were Here,Avril Lavigne,canadian pop,2011,2011-11-30,166,87,45,-4,19,34,226,3,6,65
9,Keep Holding On,Avril Lavigne,canadian pop,2007,2011-11-30,161,79,27,-2,14,15,240,4,3,64
10,Smile,Avril Lavigne,canadian pop,2011,2011-11-30,105,85,63,-4,7,65,210,0,5,62
11,Nobody's Home,Avril Lavigne,canadian pop,2004,2011-11-30,185,91,35,-4,16,18,212,0,5,61
12,Hot,Avril Lavigne,canadian pop,2007,2011-11-30,145,94,60,-4,36,47,203,2,8,60
13,Don't Tell Me,Avril Lavigne,canadian pop,2004,2011-11-30,144,80,52,-3,36,48,202,0,4,59
14,Innocence,Avril Lavigne,canadian pop,2007,2011-11-30,138,71,39,-4,20,34,232,15,3,58
15,Losing Grip,Avril Lavigne,canadian pop,2002,2011-11-30,158,89,53,-5,8,58,234,0,10,58
16,Things I'll Never Say,Avril Lavigne,canadian pop,2002,2011-11-30,102,81,57,-5,14,59,224,0,3,56
17,Fall To Pieces,Avril Lavigne,canadian pop,2004,2011-11-30,178,90,43,-3,63,49,209,0,4,55
18,The Best Damn Thing,Avril Lavigne,canadian pop,2007,2011-11-30,165,94,56,-2,15,88,189,0,9,55
19,Anything but Ordinary,Avril Lavigne,canadian pop,2002,2011-11-30,123,67,65,-6,9,64,251,4,4,55
20,Everybody Hurts,Avril Lavigne,canadian pop,2011,2011-11-30,102,75,45,-4,12,36,222,1,3,54
21,I Love You,Avril Lavigne,canadian pop,2011,2011-11-30,107,80,60,-4,32,51,242,2,3,54
22,Slipped Away,Avril Lavigne,canadian pop,2004,2011-11-30,161,62,45,-4,12,10,214,0,3,54
23,Alice - Extended Version,Avril Lavigne,canadian pop,2011,2011-11-30,119,82,54,-4,17,17,301,5,8,54
24,Tomorrow,Avril Lavigne,canadian pop,2002,2011-11-30,136,79,63,-7,16,61,229,1,3,54
25,Take Me Away,Avril Lavigne,canadian pop,2004,2011-11-30,99,89,51,-2,20,26,178,0,3,53
26,He Wasn't,Avril Lavigne,canadian pop,2004,2011-11-30,173,86,41,-4,8,66,179,0,5,53
27,Nobody's Fool,Avril Lavigne,canadian pop,2002,2011-11-30,90,88,50,-6,13,46,237,0,6,53
28,Runaway,Avril Lavigne,canadian pop,2007,2011-11-30,135,94,57,-2,16,68,228,0,5,52
29,Remember When,Avril Lavigne,canadian pop,2011,2011-11-30,148,53,43,-6,8,17,209,3,3,51
30,Mobile,Avril Lavigne,canadian pop,2002,2011-11-30,100,73,59,-6,11,63,212,0,3,51
31,Girlfriend - Radio Edit,Avril Lavigne,canadian pop,2007,2011-11-30,164,96,55,-2,25,67,217,0,11,50
32,Unwanted,Avril Lavigne,canadian pop,2002,2011-11-30,162,84,48,-5,63,62,221,0,6,49
