artist,year,global album sales
Adele,2008,8560000
Adele,2011,30140000
Adele,2015,20410000
Alicia Keys,2001,12600000
Alicia Keys,2003,8000000
Alicia Keys,2007,6400000
Alicia Keys,2009,4000000
Alicia Keys,2012,1800000
Avril Lavigne,2002,16220000
Avril Lavigne,2004,8020000
Avril Lavigne,2007,5660000
Avril Lavigne,2011,1650000
Avril Lavigne,2013,740000
Beyoncé,2003,9920000
Beyoncé,2006,6060000
Beyoncé,2008,7570000
Beyoncé,2011,3130000
Beyoncé,2013,3880000
Britney Spears,2000,19305000
Britney Spears,2001,10240000
Britney Spears,2003,7000000
Britney Spears,2007,2475000
Britney Spears,2008,3775000
Britney Spears,2011,1680000
Britney Spears,2013,640000
Céline Dion,2002,9400000
Céline Dion,2003,4400000
Céline Dion,2004,1900000
Céline Dion,2007,3400000
Céline Dion,2013,1700000
Christina Aguilera,2000,1400000
Christina Aguilera,2002,9550000
Christina Aguilera,2006,4000000
Christina Aguilera,2010,750000
Christina Aguilera,2012,525000
Janet Jackson,2001,5900000
Janet Jackson,2004,1550000
Janet Jackson,2006,1000000
Janet Jackson,2008,7000000
Janet Jackson,2015,400000
Jennifer Lopez,2001,8320000
Jennifer Lopez,2002,6000000
Jennifer Lopez,2005,1940000
Jennifer Lopez,2007,1220000
Jennifer Lopez,2011,1180000
Jennifer Lopez,2014,170000
Katy Perry,2008,4140000
Katy Perry,2010,6910000
Katy Perry,2013,4230000
Kelly Clarkson,2003,3630000
Kelly Clarkson,2004,10980000
Kelly Clarkson,2007,1510000
Kelly Clarkson,2009,1750000
Kelly Clarkson,2011,1830000
Kelly Clarkson,2013,1140000
Kelly Clarkson,2015,460000
Lady Gaga,2008,15730000
Lady Gaga,2011,6720000
Lady Gaga,2013,2120000
Lady Gaga,2014,1370000
Madonna,2000,10700000
Madonna,2003,3375000
Madonna,2005,9325000
Madonna,2008,3650000
Madonna,2012,1850000
Madonna,2015,900000
Mariah Carey,2001,1900000
Mariah Carey,2002,2800000
Mariah Carey,2005,8600000
Mariah Carey,2008,2150000
Mariah Carey,2009,1050000
Mariah Carey,2010,850000
Mariah Carey,2014,300000
Pink,2000,4225000
Pink,2001,11575000
Pink,2003,2825000
Pink,2006,6175000
Pink,2008,6775000
Pink,2012,5450000
Rihanna,2005,1775000
Rihanna,2006,3700000
Rihanna,2007,8900000
Rihanna,2009,3425000
Rihanna,2010,6575000
Rihanna,2011,3850000
Rihanna,2012,3650000
Shakira,2001,12630000
Shakira,2005,5000000
Shakira,2009,1780000
Shakira,2010,2610000
Shakira,2014,860000
Taylor Swift,2006,6600000
Taylor Swift,2007,1350000
Taylor Swift,2008,9940000
Taylor Swift,2010,6270000
Taylor Swift,2012,7160000
Taylor Swift,2014,10360000
