artist,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Adele,,,,,,,,,8560000,,,30140000,,,,20410000
Alicia Keys,,12600000,,8000000,,,,6400000,,4000000,,,1800000,,,
Avril Lavigne,,,16220000,,8020000,,,5660000,,,,1650000,,740000,,
Beyoncé,,,,9920000,,,6060000,,7570000,,,3130000,,3880000,,
Britney Spears,19305000,10240000,,7000000,,,,2475000,3775000,,,1680000,,640000,,
Céline Dion,,,9400000,4400000,1900000,,,3400000,,,,,,1700000,,
Christina Aguilera,1400000,,9550000,,,,4000000,,,,750000,,525000,,,
Janet Jackson,,5900000,,,1550000,,1000000,,7000000,,,,,,,400000
Jennifer Lopez,,8320000,6000000,,,1940000,,1220000,,,,1180000,,,170000,
Katy Perry,,,,,,,,,4140000,,6910000,,,4230000,,
Kelly Clarkson,,,,3630000,10980000,,,1510000,,1750000,,1830000,,1140000,,460000
Lady Gaga,,,,,,,,,15730000,,,6720000,,2120000,1370000,
Madonna,10700000,,,3375000,,9325000,,,3650000,,,,1850000,,,900000
Mariah Carey,,1900000,2800000,,,8600000,,,2150000,1050000,850000,,,,300000,
Pink,4225000,11575000,,2825000,,,6175000,,6775000,,,,5450000,,,
Rihanna,,,,,,1775000,3700000,8900000,,3425000,6575000,3850000,3650000,,,
Shakira,,12630000,,,,5000000,,,,1780000,2610000,,,,860000,
Taylor Swift,,,,,,,6600000,1350000,9940000,,6270000,,7160000,,10360000,
